url,label
http://217.60.241.104/svchost.exe,bad
http://130.12.180.67/ScreenConnect.ClientSetup.exe,bad
http://130.12.180.66/ScreenConnect.ClientSetup.exe,bad
http://162.255.251.91:50087/bin.sh,bad
http://reavercncv4.duckdns.org/boatnet.arm6,bad
http://reavercncv4.duckdns.org/boatnet.arm,bad
http://reavercncv4.duckdns.org/boatnet.mips,bad
http://reavercncv4.duckdns.org/boatnet.sh4,bad
http://reavercncv4.duckdns.org/boatnet.arm5,bad
http://reavercncv4.duckdns.org/boatnet.x86,bad
http://reavercncv4.duckdns.org/boatnet.m68k,bad
http://reavercncv4.duckdns.org/boatnet.ppc,bad
http://reavercncv4.duckdns.org/boatnet.spc,bad
http://217.60.195.187/boatnet.arm7,bad
http://217.60.195.187/boatnet.arm5,bad
http://reavercncv4.duckdns.org/boatnet.mpsl,bad
http://reavercncv4.duckdns.org/boatnet.arc,bad
http://reavercncv4.duckdns.org/boatnet.arm7,bad
http://217.60.195.187/boatnet.mpsl,bad
http://217.60.195.187/boatnet.mips,bad
http://217.60.195.187/boatnet.arm,bad
http://217.60.195.187/boatnet.ppc,bad
http://217.60.195.187/boatnet.sh4,bad
http://217.60.195.187/boatnet.x86,bad
http://load.dstat.top/c.sh,bad
http://217.60.195.187/boatnet.spc,bad
http://217.60.195.187/boatnet.arm6,bad
http://217.60.195.187/boatnet.arc,bad
http://217.60.195.187/boatnet.m68k,bad
http://42.224.169.34:41660/bin.sh,bad
http://oregano.brightleafrv.com/c.sh,bad
http://load.dstat.top/a.sh,bad
http://oregano.brightleafrv.com/ppc,bad
http://load.dstat.top/x86_64,bad
http://oregano.brightleafrv.com/i486,bad
http://oregano.brightleafrv.com/mips,bad
http://oregano.brightleafrv.com/m68k,bad
http://oregano.brightleafrv.com/arm7,bad
http://load.dstat.top/arm,bad
http://load.dstat.top/i486,bad
http://oregano.brightleafrv.com/ppc440,bad
http://load.dstat.top/ppc,bad
http://load.dstat.top/ppc440,bad
http://oregano.brightleafrv.com/a.sh,bad
http://load.dstat.top/mips,bad
http://load.dstat.top/mpsl,bad
http://oregano.brightleafrv.com/sh4,bad
http://oregano.brightleafrv.com/mpsl,bad
http://oregano.brightleafrv.com/i586,bad
http://oregano.brightleafrv.com/i686,bad
http://load.dstat.top/arm5,bad
http://load.dstat.top/arm6,bad
http://load.dstat.top/i686,bad
http://load.dstat.top/arm7,bad
http://oregano.brightleafrv.com/arm,bad
http://load.dstat.top/sh4,bad
http://oregano.brightleafrv.com/arm5,bad
http://load.dstat.top/i586,bad
http://load.dstat.top/m68k,bad
http://oregano.brightleafrv.com/x86_64,bad
http://oregano.brightleafrv.com/arm6,bad
http://94.154.43.244/arm5,bad
http://94.154.43.244/mpsl,bad
http://94.154.43.244/mips,bad
http://94.154.43.244/sh4,bad
http://94.154.43.244/c.sh,bad
http://94.154.43.244/arm6,bad
http://94.154.43.244/i686,bad
http://94.154.43.244/arm7,bad
http://94.154.43.244/i486,bad
http://94.154.43.244/ppc,bad
http://94.154.43.244/arm,bad
http://94.154.43.244/x86_64,bad
http://94.154.43.244/i586,bad
http://94.154.43.244/ppc440,bad
http://94.154.43.244/m68k,bad
http://94.154.43.244/a.sh,bad
http://31.173.12.38:48285/i,bad
http://94.154.43.88/arm7,bad
http://94.154.43.88/l,bad
http://42.55.138.2:60455/i,bad
http://45.154.98.42/ID/id/ConnectProAgentSetup.msi,bad
http://45.154.98.42/ID/ConnectProAgentSetup.msi,bad
http://mail.springnetpm.pro/bins/David.sh4,bad
http://119.177.244.151:33507/i,bad
http://119.177.244.151:33507/bin.sh,bad
http://89.165.130.43:46337/i,bad
http://utensil.cleverpondky.com/bins/David.arm6,bad
http://94.154.43.100/static/js/sdfjgnjsdf.ppc,bad
http://94.154.43.97/bins/David.mpsl,bad
http://springnetpm.pro/bins/David.m68k,bad
http://mail.springnetpm.pro/bins/David.mpsl,bad
http://mail.springnetpm.pro/bins/David.x86,bad
http://utensil.cleverpondky.com/ohshit.sh,bad
http://springnetpm.pro/bins/David.arm5,bad
http://springnetpm.pro/ohshit.sh,bad
http://springnetpm.pro/bins/David.x86,bad
http://94.154.43.97/bins/David.mips,bad
http://94.154.43.97/bins/David.arm,bad
http://94.154.43.97/bins/David.ppc,bad
http://94.154.43.97/bins/David.spc,bad
http://94.154.43.97/bins/David.m68k,bad
http://94.154.43.97/bins/David.arm6,bad
http://94.154.43.97/ohshit.sh,bad
http://springnetpm.pro/bins/David.arm7,bad
http://94.154.43.97/bins/David.x86,bad
http://utensil.cleverpondky.com/bins/David.arm,bad
http://mail.springnetpm.pro/bins/David.arm5,bad
http://springnetpm.pro/bins/David.mips,bad
http://springnetpm.pro/bins/David.arm,bad
http://mail.springnetpm.pro/bins/David.mips,bad
http://94.154.43.97/bins/David.sh4,bad
http://springnetpm.pro/bins/David.sh4,bad
http://utensil.cleverpondky.com/bins/David.ppc,bad
http://utensil.cleverpondky.com/bins/David.spc,bad
http://mail.springnetpm.pro/bins/David.arm6,bad
http://springnetpm.pro/bins/David.spc,bad
http://mail.springnetpm.pro/bins/David.ppc,bad
http://springnetpm.pro/bins/David.ppc,bad
http://mail.springnetpm.pro/ohshit.sh,bad
http://utensil.cleverpondky.com/bins/David.mips,bad
http://mail.springnetpm.pro/bins/David.arm,bad
http://mail.springnetpm.pro/bins/David.m68k,bad
http://94.154.43.97/bins/David.arm7,bad
http://ssh.microc2.lol/bins/client_mipsel,bad
http://springnetpm.pro/bins/David.mpsl,bad
http://mail.springnetpm.pro/bins/David.arm7,bad
http://mail.springnetpm.pro/bins/David.spc,bad
http://94.154.43.97/bins/David.arm5,bad
http://springnetpm.pro/bins/David.arm6,bad
http://utensil.cleverpondky.com/bins/David.mpsl,bad
http://utensil.cleverpondky.com/bins/David.arm5,bad
http://utensil.cleverpondky.com/bins/David.x86,bad
http://utensil.cleverpondky.com/bins/David.sh4,bad
http://utensil.cleverpondky.com/bins/David.arm7,bad
http://utensil.cleverpondky.com/bins/David.m68k,bad
http://94.154.43.121/bins/client_armv7l,bad
http://94.154.43.125/static/js/sdfjgnjsdf.arc,bad
http://smartsummitlo.pro/static/js/sdfjgnjsdf.mips,bad
http://94.154.43.110/bins/client_mipsel,bad
http://smartsummitlo.pro/static/js/android.sh,bad
http://smartsummitlo.pro/static/js/sdfjgnjsdf.sh4,bad
http://94.154.43.121/static/js/sdfjgnjsdf.arc,bad
http://94.154.43.121/static/js/sdfjgnjsdf.arm5,bad
http://94.154.43.129/bins/client_x86_64,bad
http://94.154.43.133/bins/client_armv7l,bad
http://94.154.43.100/static/js/sdfjgnjsdf.m68k,bad
http://94.154.43.129/bins/client_powerpc,bad
http://94.154.43.129/static/js/sdfjgnjsdf.i486,bad
http://ssh.microc2.lol/static/js/sdfjgnjsdf.arm6,bad
http://smartsummitlo.pro/bins/client_powerpc,bad
http://94.154.43.100/bins/client_mips,bad
http://94.154.43.100/static/js/micro.sh,bad
http://smartsummitlo.pro/static/js/micro.sh,bad
http://94.154.43.125/bins/client_mipsel,bad
http://94.154.43.129/static/js/sdfjgnjsdf.mips,bad
http://smartsummitlo.pro/bins/client,bad
http://94.154.43.110/static/js/sdfjgnjsdf.mpsl,bad
http://94.154.43.46/bins/client_x86_64,bad
http://smartsummitlo.pro/static/js/sdfjgnjsdf.m68k,bad
http://ssh.microc2.lol/static/js/sdfjgnjsdf.m68k,bad
